id,project_name,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforestation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Restoration: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking,default
city30,Juárez,-106.4660034,31.66,No,1381701,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,57,416362,2.12,13,1
city31,La Paz,-68.1517029,-16.51,No,1887079,0,0,100,0,0,Not Stressed,0.011,Stressed,1,0,High,3.26,High,6158,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,26,4764,2.75,48,1
city32,León,-101.677002,21.13,No,1813209,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,39,2041,2.48,27,1
city33,Lima,-77.0610962,-12.08,No,9843168,0,12,88,0,0,Stressed,0.914,Stressed,1,0,Medium,0.12,High,1151,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,56,551378,2.22,63,1
city34,Maceió,-35.8404999,-9.54,Priority,1268292,0,0,100,0,0,Not Stressed,0.05,Stressed,1,0,High,636.5,High,618,0,High,5.252,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.85,High Potential,2.3,0,High,19,338595,2.64,20,1
city35,Managua,-86.2587967,12.15,No,1058344,0,20,80,0,0,Stressed,0.405,Stressed,1,0,Medium,0.1,High,692,0,Low,0.017,Insufficient Scope,,Insufficient Scope,,Low Potential,228.4,Insufficient Scope,,Low Potential,593.77,Insufficient Scope,,0,,,,,,1
city36,Manaus,-59.9688988,-3.07,No,2043390,0,2,98,0,0,Not Stressed,0,Not Stressed,0.000421941,0,Low,0,Low,13,0,Low,0.001,Insufficient Scope,,Low Potential,4303.4,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,46,518999,2.37,1,1
city37,Maracaibo,-71.759697,10.68,Priority,2522082,0,0,100,0,0,Stressed,0.493,Stressed,1,0,High,0.33,High,677,0,Medium,0.36,Medium Potential,91.8,Medium Potential,20.4,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,7,323748,2.96,39,1
city38,Maracay,-67.5948029,10.24,No,1221942,0,38,62,0,0,Not Stressed,0.043,Stressed,1,0,High,0.53,High,689,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,24,35743,2.71,65,1
city39,Medellín,-75.5746994,6.25,Priority,4076215,0,25,75,0,0,Not Stressed,0.022,Stressed,1,0,High,0.43,High,1017,0,High,2.702,Low Potential,329.7,Low Potential,134.2,High Potential,6.3,Insufficient Scope,,Medium Potential,24.38,High Potential,6.2,0,Low ,54,12905,2.27,58,1
city40,Mendoza,-68.8410034,-32.89,No,1020982,0,50,50,0,0,Stressed,1,Stressed,1,0,Low,0,High,1880,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,,1
city41,Mérida,-89.5708008,21,No,1123376,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,11,7488,3.45,57,1
city42,Mexico City,-99.1312027,19.42,No,21705580,0,81,19,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,29,2107270,2.47,12,1
city43,Monterrey,-100.3069992,25.7,Priority,4654829,0,50,50,0,0,Stressed,0.41,Stressed,1,0,Medium,0.15,High,665,0,Medium,0.255,Insufficient Scope,,Medium Potential,53,Medium Potential,23.8,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,20,272135,2.6,33,1
city44,Montevideo,-56.167099,-34.87,No,1730656,0,0,100,0,0,Not Stressed,0.027,Not Stressed,0.256992684,0,Medium,0.08,Medium,183,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,33,368203,2.39,67,1
city45,Natal,-35.2533989,-5.89,No,1453978,0,33,67,0,0,Not Stressed,0.286,Stressed,1,0,High,4.87,Medium,29,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,63,99839,2.22,21,1
city46,Panama City,-79.5367966,8.96,No,1584657,0,0,100,0,0,Not Stressed,0.04,Not Stressed,0.277670664,0,Low,0.01,High,859,0,Medium,0.155,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.39,Insufficient Scope,,0,High,17,956631,2.71,19,1
city47,Porto Alegre,-51.2216988,-30.03,No,4113009,0,0,100,0,0,Stressed,0.473,Stressed,1,0,High,9,High,2857,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,44,1196336,2.31,22,1
city48,Puebla de Zaragoza,-98.2895966,19.15,No,2503377,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,62,111253,2.2,17,1
city49,Querétaro,-100.4229965,20.65,No,1306139,0,33,33,33,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Low,0.009,Insufficient Scope,,Low Potential,445.6,Insufficient Scope,,Low Potential,509.76,Insufficient Scope,,Insufficient Scope,,0,Medium,40,269,2.41,18,1
city50,Quito,-78.4973984,-0.2,Priority,1738937,0,3,98,0,0,Not Stressed,0.017,Stressed,1,0,High,2.19,High,1756,0,High,2.002,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,High Potential,7,0,Very High,13,389,3.32,25,1
