id,project_name,lon,lat,laccPriority,-- SELECT A METRIC --,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection (ha): Phosphorous,Forest Protection: Sediment Category,Forest Protection (ha): Sediment,Reforestation: Phosphorous Category,Reforestation (ha): Phosphorous,Reforestation: Sediment Category,Reforestation (ha): Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration (ha): Phosphorous,Riparian Restoration: Sediment Category,Riparian Restoration (ha): Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Opportunity to Mitigate Riverine Flooding,Shape (unitless),Slope (degrees),Area (km2),Drainage Density (km/km2),Flood Discharge Sensitivity (unitless),Preserve Infiltration (unitless),Increase Infiltration (%),Preserve Riparian Buffer (%),Disconnect Effective Impervious Area (km2),Preserve Wetland Storage (%),Increase Wetland Storage (%),Stormwater Flood Mitigation City Ranking,Final Ranking,Relative storm intensity (# annual dry days/(kg/m2)/yr ),Soil Permeability (unitless),Percent Open Space (unitless),Distribution of Open Space (unitless),City Slope Score (unitless),default
city21,Fortaleza,-38.5265007,-3.73,No,0,3878369,0,0,100,0,0,High,6.08,High,597,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,58,1190749,2.045817364,1.704712544,1.789783889,600.4527403,0.118338521,0.007770197,91.2302748,0.376259865,89.93333104,131.0736542,5.227580035,112.4860607,31,12,6.78,4,2,0.48,0,1
city22,Goiânia,-49.2874985,-16.71,Priority,0,2281808,0,25,75,0,0,High,0.29,High,550,0,Medium,0.219,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,139.08,Medium Potential,64.3,0,low ,52,21027,2.16216787,1.474921858,2.4911516,5347.890807,0.136382505,0.008325059,86.9412689,0.950246771,98.3976072,261.5314058,0.132201427,189.8161245,5,17,9.33,3,3,0.58,4,1
city23,Grande Vitória,-40.2980003,-20.3,Priority,0,1816111,0,0,100,0,0,Medium,0.14,High,533,0,Medium,0.254,Low Potential,570,Low Potential,414.3,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,51.42,Unlikely Scope,IS,0,high,20,383424,2.82555319,1.707731272,2.665039962,1127.852977,0.072997748,0.454662077,86.31687975,0.347457391,99.74034364,5.918898469,12.40133856,33.44167959,8,15,6.84,3,2,0.5,4,1
city24,Guadalajara,-103.3499985,20.68,No,0,4868678,0,32,68,0,0,High,0.47,Medium,113,0,Low,0.017,Unlikely Scope,IS,Low Potential,456.3,Low Potential,1570,Low Potential,955.18,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,40,103,2.298000518,2.066682368,3.354584289,65011.68932,0.159412674,0.078971359,66.70935849,0.744279582,99.65595115,1097.865683,7.936071682,47.07164886,40,10.84,3.39,1.84,3,0.46,2,1
city25,Guatemala City,-90.5926971,14.59,Priority,0,1362206,0,50,50,0,0,High,2.1,High,1107,0,High,1.682,Low Potential,201.1,Medium Potential,26.2,High Potential,2.5,Medium Potential,32.35,Unlikely Scope,IS,Unlikely Scope,IS,0,high,22,339091,2.607249565,1.487907571,7.313629418,654.2022643,0.152358604,0.075213452,57.44972995,0.225282089,87.3344562,205.3029738,12.16642472,3.293017948,54,8.45,16.17,1.45,1,0.38,1,1
city26,Guayana City,-62.5782013,8.3,No,0,610514,0,0,100,0,0,Low,0,Medium,57,0,Medium,0.937,Unlikely Scope,IS,Low Potential,3628.8,High Potential,5.8,Low Potential,664.56,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,35,233304,2.424558598,2.00680903,2.5256579,940354.6446,0.170726051,0.003961092,78.19478,2.868580562,99.96751375,123.2277786,7.247398671,43.27915731,42,14.27,4.22,2.27,3,0.52,4,1
city27,Guayaquil,-79.9061966,-2.2,No,0,2375062,0,0,100,0,0,Medium,0.06,High,330,0,Medium,0.105,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,439.2,Unlikely Scope,IS,Low Potential,885.37,Low Potential,147.4,0,Medium,30,1424401,2.341601504,1.84058134,1.943481415,5894.336637,0.171566507,0.036996425,74.00684018,1.353168165,99.94325813,29.9499178,11.8413262,38.56270775,14,10.65,5.31,1.65,1,0.44,4,1
city28,Havana,-82.3797989,23.13,No,0,2071462,0,25,75,0,0,High,6.79,High,1598,0,Medium,0.686,Unlikely Scope,IS,Unlikely Scope,IS,High Potential,1.8,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,43,849122,2.235866513,1.531031677,1.022432335,148.682757,0.10366044,0.200544363,83.94363705,0.818874399,63.8301684,63.94213482,2.66528107,211.7192721,45,10.13,5.59,2.13,2,0.48,0,1
city29,João Pessoa,-34.9734001,-7.12,Priority,0,1204214,0,25,75,0,0,High,16.54,Medium,87,0,Medium,0.946,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.39,Unlikely Scope,IS,0,high,25,77515,2.709635536,1.630784301,0.876049006,8481.376508,0.062338489,0.005676145,90.31836279,0.470286719,99.95185539,23.9763963,4.508410392,95.93424294,32,12,16.17,4,2,0.45,0,1
city30,Juárez,-106.4660034,31.66,No,0,1381701,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,60,416362,1.961758411,1.895591488,1.4897513,6491.37049,0.173427929,0.021003767,75.7484207,0.068671003,99.43821208,275.5075976,3.594294043,80.58460483,13,14.39,0.65,1.39,4,0.59,4,1
city31,La Paz,-68.1517029,-16.51,No,0,1887079,0,0,100,0,0,High,3.26,High,6158,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,38,4764,2.451153765,1.381234829,10.73233234,831.5220403,0.154189377,0.230710773,71.42721731,0.945138819,74.93689962,593.5754558,1.191026602,190.6363823,48,9,2.22,1,3,0.64,0,1
city32,León,-101.677002,21.13,No,0,1813209,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,39,2041,2.300527673,1.682687425,3.4035625,2869.849094,0.194381311,0.015981094,66.8165512,0.843992529,98.90275375,245.5226177,0.039722917,94.73684211,27,12.29,2.4,1.29,3,0.55,3,1
city33,Lima,-77.0610962,-12.08,No,0,9843168,0,12,88,0,0,Medium,0.12,High,1151,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,44,551378,2.168164328,2.44801496,6.090657072,1102.33252,0.093798561,0.004309508,79.91055918,0.72994835,88.47278822,196.3062282,6.928643428,28.35422241,63,6.85,0.35,1.85,2,0.46,0,1
city34,Maceió,-35.8404999,-9.54,Priority,0,1268292,0,0,100,0,0,High,636.5,High,618,0,High,5.252,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.85,High Potential,2.3,0,Medium,33,338595,2.409248235,1.932445162,1.415106462,1482.238367,0.073153711,0.036428672,86.31865132,1.071829744,79.20074371,16.33281831,11.0498636,133.4998113,20,13,16.2,3,1,0.37,4,1
city35,Managua,-86.2587967,12.15,No,0,1058344,0,20,80,0,0,Medium,0.1,High,692,0,Low,0.017,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,228.4,Unlikely Scope,IS,Low Potential,593.77,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
city36,Manaus,-59.9688988,-3.07,No,0,2043390,0,2,98,0,0,Low,0,Low,13,0,Low,0.001,Unlikely Scope,IS,Low Potential,4303.4,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,32,518999,2.394456429,2.53447726,1.2269769,749449.4209,0.164292619,0.036314486,75.5523,3.344074133,99.98325528,19.60050347,5.77893656,8.6255853,1,19.4,19.99,3.4,4,0.62,4,1
city37,Maracaibo,-71.759697,10.68,Priority,0,2522082,0,0,100,0,0,High,0.33,High,677,0,Medium,0.36,Medium Potential,91.8,Medium Potential,20.4,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,5,323748,2.981046123,1.646054976,0.537641629,68.85315122,0.069200126,0.006685774,86.88927297,0.391107052,99.61333871,3.681265287,12.5851666,480.6941918,39,10.88,2.39,3.88,2,0.66,0,1
city38,Maracay,-67.5948029,10.24,No,0,1221942,0,38,62,0,0,High,0.53,High,689,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,27,35743,2.587993678,1.413251881,9.580645192,1001.827211,0.188758931,0.04028357,81.48896612,0.265917025,95.89085791,396.0672745,7.469924316,26.03368375,65,6.69,4.93,2.69,1,0.37,0,1
city39,Medellín,-75.5746994,6.25,Priority,0,4076215,0,25,75,0,0,High,0.43,High,1017,0,High,2.702,Low Potential,329.7,Low Potential,134.2,High Potential,6.3,Unlikely Scope,IS,Medium Potential,24.38,High Potential,6.2,0,low ,54,12905,2.187752117,1.9086345,7.0198817,3819.111972,0.153895542,0.00391023,65.7341995,0.774415911,99.91108065,125.5951142,0.187216388,39.44055944,58,7.77,17.32,1.77,1,0.35,0,1
city40,Mendoza,-68.8410034,-32.89,No,0,1020982,0,50,50,0,0,Low,0,High,1880,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
